Model,Algorithm,Rank,Feature,Importance
Model 1,XGBoost,3,SP500_QoQ_Lag1,0.0581108033657074
Model 1,XGBoost,4,FnG_QoQ_Lag3,0.05627613514661789
Model 1,XGBoost,5,IXIC_QoQ_Lag1,0.05406387150287628
Model 1,XGBoost,6,QuarterlyReturn_Lag1,0.04053296148777008
Model 1,XGBoost,7,DJIA_QoQ_Lag1,0.031513623893260956
Model 1,XGBoost,8,VIX_QoQ,0.03144572675228119
Model 1,XGBoost,9,Quarter_4,0.028016308322548866
Model 1,XGBoost,10,TotalUnempPct_last1,0.027896573767066002
Model 1,XGBoost,11,OverallIndex_last1,0.026754943653941154
Model 1,XGBoost,12,DJIA_QoQ,0.025569802150130272
Model 1,XGBoost,13,IXIC_QoQ_Lag2,0.024173390120267868
Model 1,XGBoost,14,QuarterlyReturn_Lag3,0.023871365934610367
Model 1,XGBoost,15,TradingTurnover_cur,0.023489970713853836
Model 1,XGBoost,16,RediscountRate_last1,0.02269134111702442
Model 1,XGBoost,17,TradingMoney_cur,0.021354902535676956
Model 1,XGBoost,18,FnG_QoQ,0.020341109484434128
Model 1,XGBoost,19,QuarterlyReturn_Lag2,0.01859208196401596
Model 1,XGBoost,20,SOX_QoQ_Lag1,0.018426207825541496
Model 2,XGBoost,1,Spread_cur,0.09123725444078445
Model 2,XGBoost,2,FnG_YoY,0.07330531626939774
Model 2,XGBoost,3,IXIC_YoY_Lag1,0.06473735719919205
Model 2,XGBoost,4,VIX_YoY,0.04083762690424919
Model 2,XGBoost,5,RediscountRate_last1,0.03891252726316452
Model 2,XGBoost,6,QuarterlyReturn_Lag1,0.036215510219335556
Model 2,XGBoost,7,SOX_YoY,0.03487633541226387
Model 2,XGBoost,8,FnG_YoY_Lag2,0.03404506668448448
Model 2,XGBoost,9,DJIA_YoY_Lag1,0.03118121437728405
Model 2,XGBoost,10,DJIA_YoY_Lag3,0.029634103178977966
Model 2,XGBoost,11,TotalUnempPct_last1,0.028761427849531174
Model 2,XGBoost,12,IXIC_YoY_Lag2,0.028342531993985176
Model 2,XGBoost,13,SOX_YoY_Lag1,0.02764286659657955
Model 2,XGBoost,14,VIX_YoY_Lag1,0.0256330743432045
Model 2,XGBoost,15,DJIA_YoY_Lag2,0.02524050883948803
Model 2,XGBoost,16,EPS_last1,0.024360258132219315
Model 2,XGBoost,17,QuarterlyReturn_Lag3,0.024334903806447983
Model 2,XGBoost,18,TradingTurnover_cur,0.023062925785779953
Model 2,XGBoost,19,TradingMoney_cur,0.022630631923675537
Model 2,XGBoost,20,OverallIndex_last1,0.020914750173687935
Model 3,XGBoost,1,QuarterlyVolatility_Lag1,0.34325236082077026
Model 3,XGBoost,2,SP500_QoQ_Lag2,0.04943264648318291
Model 3,XGBoost,3,Spread_cur,0.047159671783447266
Model 3,XGBoost,4,SOX_QoQ,0.027984607964754105
Model 3,XGBoost,5,IXIC_QoQ_Lag1,0.02455349639058113
Model 3,XGBoost,6,SOX_QoQ_Lag2,0.023265184834599495
Model 3,XGBoost,7,DJIA_QoQ_Lag2,0.0212053544819355
Model 3,XGBoost,8,FnG_QoQ_Lag2,0.02082105726003647
Model 3,XGBoost,9,SP500_QoQ_Lag1,0.02080201730132103
Model 3,XGBoost,10,IXIC_QoQ,0.01998676173388958
Model 3,XGBoost,11,DJIA_QoQ_Lag1,0.01900198496878147
Model 3,XGBoost,12,SP500_QoQ,0.018960395827889442
Model 3,XGBoost,13,QuarterlyVolatility_Lag3,0.018861854448914528
Model 3,XGBoost,14,SOX_QoQ_Lag3,0.018268372863531113
Model 3,XGBoost,15,DJIA_QoQ,0.01780369132757187
Model 3,XGBoost,16,FnG_QoQ,0.017440972849726677
Model 3,XGBoost,17,TradingTurnover_cur,0.016284024342894554
Model 3,XGBoost,18,FnG_QoQ_Lag3,0.015587369911372662
Model 3,XGBoost,19,Quarter_2,0.015502276830375195
Model 3,XGBoost,20,OverallIndex_last1,0.015241849236190319
Model 4,XGBoost,1,QuarterlyVolatility_Lag1,0.28492966294288635
Model 4,XGBoost,2,SP500_YoY_Lag1,0.1309560239315033
Model 4,XGBoost,3,Spread_cur,0.0412597581744194
Model 4,XGBoost,4,SP500_YoY_Lag2,0.030299033969640732
Model 4,XGBoost,5,IXIC_YoY_Lag2,0.023341983556747437
Model 4,XGBoost,6,SP500_YoY,0.022052988409996033
Model 4,XGBoost,7,DJIA_YoY_Lag1,0.0219744686037302
Model 4,XGBoost,8,FnG_YoY,0.020564667880535126
Model 4,XGBoost,9,SOX_YoY_Lag3,0.019954293966293335
Model 4,XGBoost,10,DJIA_YoY_Lag2,0.019028158858418465
Model 4,XGBoost,11,IXIC_YoY,0.01843293011188507
Model 4,XGBoost,12,FnG_YoY_Lag2,0.018374832347035408
Model 4,XGBoost,13,IXIC_YoY_Lag1,0.01769450679421425
Model 4,XGBoost,14,QuarterlyVolatility_Lag3,0.017664635553956032
Model 4,XGBoost,15,SOX_YoY_Lag2,0.016314608976244926
Model 4,XGBoost,16,SP500_YoY_Lag3,0.015544597059488297
Model 4,XGBoost,17,VIX_YoY,0.015139264985918999
Model 4,XGBoost,18,Quarter_2,0.014729115180671215
Model 4,XGBoost,19,DJIA_YoY,0.014576537534594536
Model 4,XGBoost,20,FnG_YoY_Lag3,0.01400050800293684
