Model,Algorithm,Rank,Feature,Importance
Model 1,XGBoost,3,TradingMoney_cur,0.08121142536401749
Model 1,XGBoost,4,QuarterlyReturn_Lag1,0.07265108078718185
Model 1,XGBoost,5,FnG_QoQ_Lag3,0.045273780822753906
Model 1,XGBoost,6,ROE_last1,0.0435107983648777
Model 1,XGBoost,7,VIX_QoQ,0.039197780191898346
Model 1,XGBoost,8,DJIA_QoQ,0.036908332258462906
Model 1,XGBoost,9,IXIC_QoQ,0.03552411124110222
Model 1,XGBoost,10,SOX_QoQ_Lag3,0.031441982835531235
Model 1,XGBoost,11,TradingVolume_cur,0.03111022152006626
Model 1,XGBoost,12,SOX_QoQ,0.028197718784213066
Model 1,XGBoost,13,SP500_QoQ,0.025059297680854797
Model 1,XGBoost,14,Last3mCumulativeRevenue_last1,0.02467234805226326
Model 1,XGBoost,15,QuarterlyReturn_Lag2,0.022209009155631065
Model 1,XGBoost,16,TradingTurnover_cur,0.01825523003935814
Model 1,XGBoost,17,Last3mCumulativeRevenueGrowthRate_last1,0.016724571585655212
Model 1,XGBoost,18,EPS_last1,0.015977028757333755
Model 1,XGBoost,19,FnG_QoQ,0.015577556565403938
Model 1,XGBoost,20,DJIA_QoQ_Lag1,0.014835732989013195
Model 2,XGBoost,1,QuarterlyReturn_Lag3,0.13682609796524048
Model 2,XGBoost,2,FnG_YoY_Lag1,0.10120759904384613
Model 2,XGBoost,3,Spread_cur,0.0997832864522934
Model 2,XGBoost,4,QuarterlyReturn_Lag1,0.0578736774623394
Model 2,XGBoost,5,DJIA_YoY,0.03486688807606697
Model 2,XGBoost,6,ROE_last1,0.029054127633571625
Model 2,XGBoost,7,SOX_YoY_Lag3,0.027208564803004265
Model 2,XGBoost,8,TradingVolume_cur,0.025366108864545822
Model 2,XGBoost,9,VIX_YoY_Lag3,0.024988407269120216
Model 2,XGBoost,10,VIX_YoY,0.0243033766746521
Model 2,XGBoost,11,IXIC_YoY_Lag1,0.023215848952531815
Model 2,XGBoost,12,VIX_YoY_Lag1,0.023043273016810417
Model 2,XGBoost,13,Last3mCumulativeRevenue_last1,0.02190142683684826
Model 2,XGBoost,14,FnG_YoY,0.021643001586198807
Model 2,XGBoost,15,IXIC_YoY_Lag2,0.02109581232070923
Model 2,XGBoost,16,TradingTurnover_cur,0.020296476781368256
Model 2,XGBoost,17,IXIC_YoY_Lag3,0.019972428679466248
Model 2,XGBoost,18,DJIA_YoY_Lag1,0.01855519600212574
Model 2,XGBoost,19,QuarterlyReturn_Lag2,0.017393028363585472
Model 2,XGBoost,20,RediscountRate_last1,0.01720748469233513
Model 3,XGBoost,1,QuarterlyVolatility_Lag1,0.39649415016174316
Model 3,XGBoost,2,SP500_QoQ_Lag2,0.03911268338561058
Model 3,XGBoost,3,FnG_QoQ_Lag1,0.026952262967824936
Model 3,XGBoost,4,DJIA_QoQ_Lag1,0.025959685444831848
Model 3,XGBoost,5,Last3mCumulativeRevenue_last1,0.02159234881401062
Model 3,XGBoost,6,QuarterlyVolatility_Lag3,0.020061232149600983
Model 3,XGBoost,7,Spread_cur,0.018101420253515244
Model 3,XGBoost,8,OverallIndex_last1,0.0179428793489933
Model 3,XGBoost,9,TradingTurnover_cur,0.017786512151360512
Model 3,XGBoost,10,SOX_QoQ_Lag3,0.017752202227711678
Model 3,XGBoost,11,VIX_QoQ,0.017537826672196388
Model 3,XGBoost,12,DJIA_QoQ_Lag2,0.017475860193371773
Model 3,XGBoost,13,TradingVolume_cur,0.01693377085030079
Model 3,XGBoost,14,TradingMoney_cur,0.016494138166308403
Model 3,XGBoost,15,SOX_QoQ,0.016473960131406784
Model 3,XGBoost,16,EPS_last1,0.016295798122882843
Model 3,XGBoost,17,FnG_QoQ_Lag2,0.016236934810876846
Model 3,XGBoost,18,QuarterlyVolatility_Lag2,0.015932343900203705
Model 3,XGBoost,19,ROE_last1,0.015718739479780197
Model 3,XGBoost,20,RediscountRate_last1,0.015683425590395927
Model 4,XGBoost,1,QuarterlyVolatility_Lag1,0.3784100115299225
Model 4,XGBoost,2,SP500_YoY_Lag2,0.04066193103790283
Model 4,XGBoost,3,DJIA_YoY_Lag1,0.03418169170618057
Model 4,XGBoost,4,DJIA_YoY_Lag2,0.02417803928256035
Model 4,XGBoost,5,SP500_YoY,0.02373303286731243
Model 4,XGBoost,6,IXIC_YoY,0.02237420529127121
Model 4,XGBoost,7,OverallIndex_last1,0.021620851010084152
Model 4,XGBoost,8,DJIA_YoY_Lag3,0.021007096394896507
Model 4,XGBoost,9,SOX_YoY_Lag2,0.020212719216942787
Model 4,XGBoost,10,RediscountRate_last1,0.01979219913482666
Model 4,XGBoost,11,Last3mCumulativeRevenue_last1,0.01976768486201763
Model 4,XGBoost,12,DJIA_YoY,0.019298261031508446
Model 4,XGBoost,13,TradingTurnover_cur,0.018289659172296524
Model 4,XGBoost,14,QuarterlyVolatility_Lag3,0.018267638981342316
Model 4,XGBoost,15,FnG_YoY_Lag1,0.017734333872795105
Model 4,XGBoost,16,FnG_YoY,0.01694982312619686
Model 4,XGBoost,17,Spread_cur,0.016403965651988983
Model 4,XGBoost,18,IXIC_YoY_Lag3,0.016308307647705078
Model 4,XGBoost,19,ROA_last1,0.015874600037932396
Model 4,XGBoost,20,TradingVolume_cur,0.015549578703939915
