Model,Algorithm,Rank,Feature,Importance
Model 1,Random Forest,1,Spread_cur,0.5240851862125977
Model 1,Random Forest,2,QuarterlyReturn_Lag1,0.11713941117706826
Model 1,Random Forest,3,TradingVolume_cur,0.10236266638167682
Model 1,Random Forest,4,IXIC_QoQ,0.041016121530091314
Model 1,Random Forest,5,Last3mCumulativeRevenue_last1,0.04068252050103711
Model 1,Random Forest,6,SOX_QoQ,0.030937598012778268
Model 1,Random Forest,7,VIX_QoQ,0.02447496226178135
Model 1,Random Forest,8,ROE_last1,0.020475629281699968
Model 1,Random Forest,9,DJIA_QoQ,0.015899718844856
Model 1,Random Forest,10,TradingMoney_cur,0.013053943520380296
Model 1,Random Forest,11,TradingTurnover_cur,0.012711532518058465
Model 1,Random Forest,12,FnG_QoQ_Lag1,0.01036125365838863
Model 1,Random Forest,13,FnG_QoQ,0.005524297715069729
Model 1,Random Forest,14,ROA_last1,0.005388419098780437
Model 1,Random Forest,15,EPS_last1,0.005300758778484852
Model 1,Random Forest,16,GrossMargin_last1,0.00414958007094738
Model 1,Random Forest,17,SP500_QoQ,0.003491691443956146
Model 1,Random Forest,18,QuarterlyReturn_Lag2,0.002737388975601585
Model 1,Random Forest,19,SOX_QoQ_Lag1,0.002309357942034297
Model 1,Random Forest,20,SOX_QoQ_Lag2,0.0021995898984093184
Model 2,Random Forest,1,Spread_cur,0.5310317744827341
Model 2,Random Forest,2,QuarterlyReturn_Lag1,0.12951359532109222
Model 2,Random Forest,3,TradingVolume_cur,0.11114036023546194
Model 2,Random Forest,4,Last3mCumulativeRevenue_last1,0.051031875885214635
Model 2,Random Forest,5,FnG_YoY_Lag1,0.036688450870633514
Model 2,Random Forest,6,ROE_last1,0.018549464823796793
Model 2,Random Forest,7,IXIC_YoY,0.015295666494224253
Model 2,Random Forest,8,TradingMoney_cur,0.014517914314051887
Model 2,Random Forest,9,IXIC_YoY_Lag3,0.011736602551836848
Model 2,Random Forest,10,TradingTurnover_cur,0.00910070778232929
Model 2,Random Forest,11,VIX_YoY,0.00834116185447751
Model 2,Random Forest,12,EPS_last1,0.0070565812747326135
Model 2,Random Forest,13,SOX_YoY_Lag1,0.006606793632388422
Model 2,Random Forest,14,DJIA_YoY,0.006287451377300911
Model 2,Random Forest,15,VIX_YoY_Lag1,0.0058157875903522395
Model 2,Random Forest,16,ROA_last1,0.00452373514155303
Model 2,Random Forest,17,GrossMargin_last1,0.003120918104676187
Model 2,Random Forest,18,QuarterlyReturn_Lag2,0.003115666263878492
Model 2,Random Forest,19,FnG_YoY_Lag3,0.003035107677098189
Model 2,Random Forest,20,FnG_YoY,0.00302910824355425
Model 3,Random Forest,1,QuarterlyVolatility_Lag1,0.9357768365274123
Model 3,Random Forest,2,QuarterlyVolatility_Lag3,0.017549384826245032
Model 3,Random Forest,3,Spread_cur,0.01578053875969758
Model 3,Random Forest,4,QuarterlyVolatility_Lag2,0.006789045554842881
Model 3,Random Forest,5,EPS_last1,0.005061228224683489
Model 3,Random Forest,6,TradingVolume_cur,0.0022489908966038244
Model 3,Random Forest,7,Last3mCumulativeRevenueGrowthRate_last1,0.0020496092863275042
Model 3,Random Forest,8,Last3mCumulativeRevenue_last1,0.0019831917334276602
Model 3,Random Forest,9,TradingTurnover_cur,0.0016617436059541354
Model 3,Random Forest,10,TradingMoney_cur,0.0013821805442941308
Model 3,Random Forest,11,FnG_QoQ_Lag3,0.0011922403723000883
Model 3,Random Forest,12,ROE_last1,0.0011838182229455382
Model 3,Random Forest,13,FnG_QoQ_Lag1,0.001070431184092708
Model 3,Random Forest,14,ROA_last1,0.0008881489764212667
Model 3,Random Forest,15,SP500_QoQ,0.0006632696923311572
Model 3,Random Forest,16,SOX_QoQ,0.0006006771221097559
Model 3,Random Forest,17,IXIC_QoQ,0.0005482740224894144
Model 3,Random Forest,18,VIX_QoQ,0.0004724285828919241
Model 3,Random Forest,19,GrossMargin_last1,0.0004678742123300596
Model 3,Random Forest,20,FnG_QoQ,0.0004451034409216302
Model 4,Random Forest,1,QuarterlyVolatility_Lag1,0.9358458439844813
Model 4,Random Forest,2,QuarterlyVolatility_Lag3,0.017486107571018716
Model 4,Random Forest,3,Spread_cur,0.015838874516826404
Model 4,Random Forest,4,QuarterlyVolatility_Lag2,0.006830755843281774
Model 4,Random Forest,5,EPS_last1,0.005076335402750292
Model 4,Random Forest,6,TradingVolume_cur,0.0022940165306643352
Model 4,Random Forest,7,Last3mCumulativeRevenueGrowthRate_last1,0.002188199637521398
Model 4,Random Forest,8,Last3mCumulativeRevenue_last1,0.001996764667212641
Model 4,Random Forest,9,TradingTurnover_cur,0.0015951050901797843
Model 4,Random Forest,10,FnG_YoY_Lag3,0.0014011506171691648
Model 4,Random Forest,11,TradingMoney_cur,0.0013275893914206217
Model 4,Random Forest,12,ROE_last1,0.0012530002372590013
Model 4,Random Forest,13,FnG_YoY_Lag1,0.0011023085253649544
Model 4,Random Forest,14,ROA_last1,0.0009331420888943448
Model 4,Random Forest,15,SP500_YoY,0.0007053251858731008
Model 4,Random Forest,16,IXIC_YoY,0.0005032480492736537
Model 4,Random Forest,17,FnG_YoY_Lag2,0.0004072011041468678
Model 4,Random Forest,18,GrossMargin_last1,0.0004064351488661677
Model 4,Random Forest,19,VIX_YoY,0.0003683659348085385
Model 4,Random Forest,20,SP500_YoY_Lag1,0.0003417522832814185
Model 1,XGBoost,1,Spread_cur,0.09763888269662857
Model 1,XGBoost,2,IXIC_QoQ,0.09163912385702133
Model 1,XGBoost,3,SP500_QoQ_Lag1,0.05523008108139038
Model 1,XGBoost,4,IXIC_QoQ_Lag3,0.05235946178436279
Model 1,XGBoost,5,SOX_QoQ,0.05091642588376999
Model 1,XGBoost,6,DJIA_QoQ,0.04588942602276802
Model 1,XGBoost,7,TradingVolume_cur,0.03974677249789238
Model 1,XGBoost,8,SOX_QoQ_Lag3,0.038639135658741
Model 1,XGBoost,9,IXIC_QoQ_Lag1,0.03393228352069855
Model 1,XGBoost,10,VIX_QoQ,0.0330544151365757
Model 1,XGBoost,11,QuarterlyReturn_Lag1,0.028633831068873405
Model 1,XGBoost,12,Last3mCumulativeRevenue_last1,0.028467727825045586
Model 1,XGBoost,13,TotalUnempPct_last1,0.027457918971776962
Model 1,XGBoost,14,TradingMoney_cur,0.02633466199040413
Model 1,XGBoost,15,ROE_last1,0.02483934536576271
Model 1,XGBoost,16,VIX_QoQ_Lag3,0.02026512287557125
Model 1,XGBoost,17,QuarterlyReturn_Lag3,0.019705824553966522
Model 1,XGBoost,18,DJIA_QoQ_Lag1,0.018975334241986275
Model 1,XGBoost,19,FnG_QoQ,0.018527571111917496
Model 1,XGBoost,20,SOX_QoQ_Lag1,0.0185230802744627
Model 2,XGBoost,1,Spread_cur,0.10735863447189331
Model 2,XGBoost,2,IXIC_YoY_Lag3,0.061096444725990295
Model 2,XGBoost,3,IXIC_YoY,0.047791291028261185
Model 2,XGBoost,4,TradingVolume_cur,0.04342516139149666
Model 2,XGBoost,5,SOX_YoY_Lag1,0.038661859929561615
Model 2,XGBoost,6,IXIC_YoY_Lag2,0.035785503685474396
Model 2,XGBoost,7,VIX_YoY_Lag3,0.03209219127893448
Model 2,XGBoost,8,QuarterlyReturn_Lag1,0.03103119134902954
Model 2,XGBoost,9,Last3mCumulativeRevenue_last1,0.029878349974751472
Model 2,XGBoost,10,FnG_YoY_Lag1,0.029138952493667603
Model 2,XGBoost,11,SOX_YoY_Lag3,0.027817638590931892
Model 2,XGBoost,12,ROE_last1,0.026484962552785873
Model 2,XGBoost,13,VIX_YoY,0.026091961190104485
Model 2,XGBoost,14,VIX_YoY_Lag1,0.025926705449819565
Model 2,XGBoost,15,VIX_YoY_Lag2,0.02542581968009472
Model 2,XGBoost,16,SOX_YoY,0.02486930601298809
Model 2,XGBoost,17,FnG_YoY_Lag3,0.023563982918858528
Model 2,XGBoost,18,DJIA_YoY,0.023196464404463768
Model 2,XGBoost,19,SP500_YoY_Lag3,0.022659381851553917
Model 2,XGBoost,20,TotalUnempPct_last1,0.022611426189541817
Model 3,XGBoost,1,QuarterlyVolatility_Lag1,0.4112970232963562
Model 3,XGBoost,2,DJIA_QoQ_Lag2,0.039452798664569855
Model 3,XGBoost,3,FnG_QoQ_Lag3,0.02982216142117977
Model 3,XGBoost,4,SOX_QoQ,0.025966839864850044
Model 3,XGBoost,5,SOX_QoQ_Lag2,0.025557436048984528
Model 3,XGBoost,6,QuarterlyVolatility_Lag3,0.023272600024938583
Model 3,XGBoost,7,VIX_QoQ_Lag1,0.021166842430830002
Model 3,XGBoost,8,EPS_last1,0.02094847336411476
Model 3,XGBoost,9,FnG_QoQ_Lag1,0.01980043388903141
Model 3,XGBoost,10,TradingTurnover_cur,0.01896786130964756
Model 3,XGBoost,11,Spread_cur,0.01878463104367256
Model 3,XGBoost,12,DJIA_QoQ_Lag3,0.018481239676475525
Model 3,XGBoost,13,VIX_QoQ,0.01746363565325737
Model 3,XGBoost,14,ROE_last1,0.016945011913776398
Model 3,XGBoost,15,QuarterlyVolatility_Lag2,0.016907423734664917
Model 3,XGBoost,16,Last3mCumulativeRevenue_last1,0.016556769609451294
Model 3,XGBoost,17,TotalUnempPct_last1,0.01647062413394451
Model 3,XGBoost,18,DJIA_QoQ,0.015836922451853752
Model 3,XGBoost,19,FnG_QoQ_Lag2,0.015182184055447578
Model 3,XGBoost,20,SOX_QoQ_Lag1,0.015102038159966469
Model 4,XGBoost,1,QuarterlyVolatility_Lag1,0.39304545521736145
Model 4,XGBoost,2,SP500_YoY_Lag1,0.04099462926387787
Model 4,XGBoost,3,DJIA_YoY_Lag2,0.02977750450372696
Model 4,XGBoost,4,FnG_YoY_Lag3,0.028678130358457565
Model 4,XGBoost,5,IXIC_YoY,0.02332134358584881
Model 4,XGBoost,6,QuarterlyVolatility_Lag3,0.023211700841784477
Model 4,XGBoost,7,VIX_YoY_Lag1,0.022829024121165276
Model 4,XGBoost,8,SP500_YoY,0.02211533673107624
Model 4,XGBoost,9,SP500_YoY_Lag3,0.0217941552400589
Model 4,XGBoost,10,EPS_last1,0.020928682759404182
Model 4,XGBoost,11,SOX_YoY_Lag2,0.01928788237273693
Model 4,XGBoost,12,TradingTurnover_cur,0.019060175865888596
Model 4,XGBoost,13,Spread_cur,0.01833651028573513
Model 4,XGBoost,14,FnG_YoY_Lag1,0.0178096741437912
Model 4,XGBoost,15,QuarterlyVolatility_Lag2,0.01651243306696415
Model 4,XGBoost,16,ROE_last1,0.016156639903783798
Model 4,XGBoost,17,DJIA_YoY,0.016047898679971695
Model 4,XGBoost,18,Last3mCumulativeRevenue_last1,0.01598324067890644
Model 4,XGBoost,19,TotalUnempPct_last1,0.015377937816083431
Model 4,XGBoost,20,TradingVolume_cur,0.015189390629529953
