Model,Rank,Feature,Importance,Cumulative_Importance
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",14,FnG_QoQ_Lag2,0.01433675525674941,0.8195585224598628
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",15,QuarterlyReturn_Lag3,0.013229271487997072,0.8327877939478598
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",16,VIX_QoQ_Lag2,0.013156557856359422,0.8459443518042192
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",17,ROA_last1,0.012615160546724728,0.858559512350944
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",18,VIX_QoQ_Lag1,0.010949377111995997,0.8695088894629399
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",19,Last3mCumulativeRevenueGrowthRate_last1,0.009223606454397864,0.8787324959173378
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",20,VIX_QoQ_Lag3,0.008625853282693385,0.8873583492000312
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3444041988338375,0.3444041988338375
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.07097400512646188,0.41537820396029934
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.06759664292665288,0.48297484688695225
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.062401538733779696,0.545376385620732
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",5,QuarterlyReturn_Lag1,0.055116470048376096,0.600492855669108
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",6,SOX_QoQ,0.04692788343208125,0.6474207391011892
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",7,VIX_QoQ,0.03429996898531849,0.6817207080865078
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",8,DJIA_QoQ,0.02698432437687882,0.7087050324633866
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",9,Last3mCumulativeRevenue_last1,0.02510822281020378,0.7338132552735903
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",10,SP500_QoQ,0.023294971215988558,0.7571082264895789
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",11,ROE_last1,0.020917382085115243,0.7780256085746942
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",12,IXIC_QoQ,0.016257088616846722,0.7942826971915409
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",13,EPS_last1,0.014942493094752724,0.8092251902862936
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",14,FnG_QoQ_Lag2,0.013545766938720807,0.8227709572250144
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",15,VIX_QoQ_Lag2,0.013227216684827205,0.8359981739098415
