Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.022710,0.099527,0.258092,0.248173
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.027697,0.089271,0.279233,0.277932
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.022951,0.099726,0.250215,0.240190
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.027739,0.089254,0.278138,0.276834
"RF Model1 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.022842,0.099352,0.253792,0.243815
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.018672,0.073696,0.514111,0.513233
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019201,0.091202,0.372734,0.364347
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.018773,0.073689,0.511480,0.510598
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019211,0.091594,0.372407,0.364016
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.018780,0.073621,0.511285,0.510403
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019224,0.091474,0.371970,0.363573
"RF Model1 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.020472,0.074849,0.467252,0.466290
