Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001475,0.028404,0.961620,0.961547
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023988,0.094782,0.216329,0.205249
KNN Model1 - 2017Q1 to 2026Q4,Training_Set,0.000000,0.000000,1.000000,1.000000
KNN Model1 - 2017Q1 to 2026Q4,Holdout_Set,0.024838,0.099948,0.188579,0.177107
OLS Model1 - 2017Q1 to 2026Q4,Training_Set,0.027442,0.091615,0.285876,0.284513
OLS Model1 - 2017Q1 to 2026Q4,Holdout_Set,0.058369,0.187777,-0.906829,-0.933787
Lasso Model1 - 2017Q1 to 2026Q4,Training_Set,0.028345,0.092890,0.262388,0.260980
Lasso Model1 - 2017Q1 to 2026Q4,Holdout_Set,0.024822,0.113490,0.189096,0.177632
Ridge Model1 - 2017Q1 to 2026Q4,Training_Set,0.027443,0.091609,0.285849,0.284486
Ridge Model1 - 2017Q1 to 2026Q4,Holdout_Set,0.053150,0.176724,-0.736358,-0.760906
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.026124,0.087999,0.326314,0.325060
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.022525,0.097601,0.264133,0.254294
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.026130,0.088046,0.326176,0.324922
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.022770,0.098248,0.256116,0.246170
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026069,0.087860,0.327752,0.326501
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.022763,0.098157,0.256360,0.246418
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.026667,0.088025,0.312316,0.311036
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.022843,0.098163,0.253745,0.243767
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.026631,0.087977,0.313245,0.311967
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.022838,0.098266,0.253899,0.243923
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026625,0.087882,0.313407,0.312129
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.022810,0.098297,0.254819,0.244856
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.026796,0.087840,0.308993,0.307707
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.022949,0.098594,0.250274,0.240249
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.027022,0.088004,0.303154,0.301857
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.022893,0.098487,0.252113,0.242113
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.026979,0.087924,0.304285,0.302990
"RF Model2 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.022908,0.098346,0.251610,0.241604
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.027018,0.089495,0.303257,0.301961
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.023905,0.099590,0.219069,0.208628
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.027337,0.089735,0.295047,0.293735
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.024009,0.100448,0.215668,0.205181
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.027350,0.089677,0.294707,0.293394
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.023928,0.100273,0.218296,0.207845
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.027296,0.089144,0.296098,0.294788
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.023801,0.099794,0.222451,0.212055
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.027694,0.089521,0.285827,0.284498
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.023860,0.100294,0.220525,0.210103
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.027700,0.089512,0.285668,0.284339
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.023752,0.099954,0.224048,0.213673
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.027879,0.089377,0.281065,0.279727
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.023553,0.099171,0.230558,0.220270
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.028016,0.089494,0.277527,0.276182
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.023632,0.099893,0.227975,0.217652
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.028030,0.089512,0.277180,0.275835
"RF Model2 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.023609,0.099834,0.228725,0.218413
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.019005,0.074010,0.509915,0.509003
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019971,0.091470,0.347579,0.338856
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.019127,0.074125,0.506747,0.505829
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020327,0.092163,0.335935,0.327056
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.019151,0.074146,0.506133,0.505214
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020353,0.092234,0.335079,0.326189
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.020819,0.075247,0.463137,0.462138
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020150,0.091900,0.341708,0.332907
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.020974,0.075405,0.459116,0.458110
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020399,0.092207,0.333585,0.324675
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.020990,0.075365,0.458718,0.457710
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020390,0.092171,0.333886,0.324980
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.022334,0.076702,0.424053,0.422982
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020496,0.092543,0.330414,0.321461
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.022518,0.076958,0.419323,0.418243
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020610,0.092499,0.326690,0.317688
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.022511,0.076934,0.419480,0.418400
"RF Model2 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020540,0.092342,0.328987,0.320015
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.020262,0.076373,0.477500,0.476527
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021275,0.093871,0.304968,0.295675
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.020287,0.076341,0.476837,0.475863
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021343,0.094363,0.302735,0.293412
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.020342,0.076344,0.475426,0.474450
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021384,0.094327,0.301418,0.292078
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.022133,0.077809,0.429241,0.428179
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021026,0.093541,0.313103,0.303919
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.022110,0.077640,0.429832,0.428771
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021411,0.094448,0.300531,0.291178
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.022032,0.077465,0.431858,0.430801
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021347,0.094219,0.302621,0.293297
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.023401,0.078789,0.396531,0.395408
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021257,0.093622,0.305549,0.296264
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.023635,0.079120,0.390498,0.389364
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021691,0.094304,0.291387,0.281912
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.023549,0.079000,0.392716,0.391586
"RF Model2 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021730,0.094426,0.290092,0.280600
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.015777,0.062716,0.593139,0.592382
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019810,0.090549,0.352824,0.344171
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.015883,0.062636,0.590422,0.589660
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019812,0.090603,0.352762,0.344108
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.015849,0.062484,0.591287,0.590527
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019929,0.090820,0.348931,0.340226
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.018867,0.067625,0.513462,0.512557
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019649,0.090070,0.358083,0.349500
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.018959,0.067629,0.511089,0.510179
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019959,0.090498,0.347958,0.339240
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.018919,0.067526,0.512129,0.511221
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019887,0.090376,0.350331,0.341644
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.021238,0.072159,0.452329,0.451310
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020087,0.091176,0.343786,0.335012
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.021299,0.072202,0.450752,0.449730
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020188,0.091199,0.340468,0.331650
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.021274,0.072158,0.451388,0.450367
"RF Model2 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020278,0.091239,0.337529,0.328671
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.016701,0.064698,0.569324,0.568523
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020285,0.091834,0.337305,0.328445
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.016827,0.064802,0.566081,0.565273
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020546,0.092060,0.328790,0.319816
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.016836,0.064768,0.565838,0.565030
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020584,0.092075,0.327558,0.318567
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.019765,0.069643,0.490295,0.489347
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020770,0.092384,0.321471,0.312399
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.019887,0.069767,0.487151,0.486197
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020970,0.092554,0.314934,0.305774
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.019878,0.069739,0.487403,0.486449
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020937,0.092574,0.316001,0.306856
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.022279,0.074532,0.425466,0.424397
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.021146,0.093240,0.309198,0.299962
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.022450,0.074698,0.421069,0.419992
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.021328,0.093400,0.303247,0.293931
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.022418,0.074644,0.421901,0.420825
"RF Model2 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.021260,0.093137,0.305473,0.296187
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.026790,0.092491,0.309137,0.307778
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.025399,0.106449,0.170238,0.158507
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.020977,0.082521,0.459047,0.457983
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.022844,0.095035,0.253730,0.243179
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.018779,0.078226,0.515732,0.514780
"XGB Model2 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.022040,0.092390,0.279969,0.269789
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.022712,0.085647,0.414309,0.413157
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.024006,0.103656,0.215739,0.204651
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.015781,0.074711,0.593052,0.592252
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.021395,0.093335,0.301060,0.291179
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.013367,0.070607,0.655283,0.654605
"XGB Model2 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.020645,0.091069,0.325555,0.316019
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.019402,0.080807,0.499656,0.498672
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.023788,0.101466,0.222887,0.211900
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.011131,0.067185,0.712948,0.712384
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.023696,0.094223,0.225888,0.214944
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.008574,0.062062,0.778908,0.778473
"XGB Model2 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023648,0.092657,0.227440,0.216517
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.018780,0.078127,0.515718,0.514766
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022072,0.092665,0.278925,0.268730
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.015009,0.071948,0.612954,0.612193
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.021423,0.091223,0.300141,0.290247
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.013229,0.069644,0.658845,0.658175
"XGB Model2 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.022099,0.091450,0.278065,0.267858
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.013342,0.070541,0.655946,0.655270
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.020866,0.091213,0.318339,0.308701
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.008738,0.062731,0.774676,0.774233
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.021268,0.090588,0.305201,0.295378
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.006979,0.058275,0.820030,0.819676
"XGB Model2 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.021874,0.091034,0.285406,0.275303
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.008503,0.061995,0.780723,0.780292
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.023402,0.093053,0.235499,0.224690
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.004956,0.050775,0.872186,0.871935
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.023794,0.092381,0.222680,0.211690
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.003332,0.042332,0.914074,0.913905
"XGB Model2 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023879,0.092686,0.219909,0.208880
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.016179,0.074024,0.582783,0.581963
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022724,0.092786,0.257632,0.247137
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.012525,0.068740,0.676999,0.676364
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.024948,0.093620,0.184995,0.173473
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.010639,0.066241,0.725636,0.725097
"XGB Model2 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.027535,0.095616,0.100457,0.087739
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.010414,0.065756,0.731449,0.730921
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022293,0.091866,0.271706,0.261409
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.006411,0.056396,0.834685,0.834360
"XGB Model2 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.023118,0.092221,0.244772,0.234094
