Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2016-10-17,16.21,805.0,18086.4,5199.82,2126.5,33.0
2016-10-18,15.28,814.74,18161.94,5243.84,2139.6,40.0
2016-10-19,14.41,810.93,18202.62,5246.41,2144.29,39.0
2016-10-20,13.75,816.72,18162.35,5241.83,2141.34,38.0
2016-10-21,13.34,814.53,18145.71,5257.4,2141.16,43.0
2016-10-24,13.02,829.79,18223.03,5309.83,2151.33,53.0
2016-10-25,13.46,828.67,18169.27,5283.4,2143.16,48.0
2016-10-26,14.24,827.22,18199.33,5250.27,2139.43,43.0
2016-10-27,15.36,823.74,18169.68,5215.97,2133.04,46.0
2016-10-28,16.19,818.88,18161.19,5190.1,2126.41,32.0
2016-10-31,17.06,823.52,18142.42,5189.13,2126.15,30.0
2016-11-01,18.56,816.08,18037.1,5153.58,2111.72,21.0
2016-11-02,19.32,810.57,17959.64,5105.57,2097.94,17.0
2016-11-03,22.08,808.0,17930.67,5058.41,2088.66,14.0
2016-11-04,22.51,802.88,17888.28,5046.37,2085.18,14.0
2016-11-07,18.71,825.87,18259.6,5166.17,2131.52,33.0
2016-11-08,18.74,827.68,18332.74,5193.49,2139.56,33.0
2016-11-09,14.38,823.59,18589.69,5251.07,2163.26,43.0
2016-11-10,14.74,806.09,18807.88,5208.8,2167.48,45.0
2016-11-11,14.17,837.24,18847.66,5237.11,2164.45,48.0
2016-11-14,14.48,832.08,18868.69,5218.4,2164.2,53.0
2016-11-15,13.37,847.9,18923.06,5275.62,2180.39,63.0
2016-11-16,13.72,857.55,18868.14,5294.58,2176.94,60.0
2016-11-17,13.35,866.84,18903.82,5333.97,2187.12,63.0
2016-11-18,12.85,872.63,18867.93,5321.51,2181.9,61.0
2016-11-21,12.42,879.01,18956.69,5368.86,2198.18,67.0
2016-11-22,12.41,888.27,19023.87,5386.35,2202.94,67.0
2016-11-23,12.43,889.31,19083.18,5380.68,2204.72,70.0
2016-11-25,12.34,890.97,19152.14,5398.92,2213.35,72.0
2016-11-28,13.15,887.25,19097.9,5368.81,2201.72,70.0
2016-11-29,12.9,885.25,19121.6,5379.92,2204.66,71.0
2016-11-30,13.33,879.47,19123.58,5323.68,2198.81,73.0
2016-12-01,14.07,836.79,19191.93,5251.11,2191.08,71.0
2016-12-02,14.12,847.7,19170.42,5255.65,2191.95,71.0
2016-12-05,12.14,858.13,19216.24,5308.89,2204.71,75.0
2016-12-06,11.79,870.0,19251.78,5333.0,2212.23,77.0
2016-12-07,12.22,888.45,19549.62,5393.76,2241.35,83.0
2016-12-08,12.64,895.7,19614.81,5417.36,2246.19,85.0
2016-12-09,11.75,892.51,19756.85,5444.5,2259.53,87.0
2016-12-12,12.64,885.46,19796.43,5412.54,2256.96,87.0
2016-12-13,12.72,895.55,19911.21,5463.83,2271.72,88.0
2016-12-14,13.19,894.28,19792.53,5436.67,2253.28,86.0
2016-12-15,12.79,909.97,19852.24,5456.85,2262.03,86.0
2016-12-16,12.2,900.85,19843.41,5437.16,2258.07,84.0
2016-12-19,11.71,909.68,19883.06,5457.44,2262.53,82.0
2016-12-20,11.45,917.99,19974.62,5483.94,2270.76,79.0
2016-12-21,11.27,918.33,19941.96,5471.43,2265.18,74.0
2016-12-22,11.43,923.06,19918.88,5447.42,2260.96,71.0
2016-12-23,11.44,927.92,19933.81,5462.69,2263.79,66.0
2016-12-27,11.99,939.21,19945.04,5487.44,2268.88,70.0
2016-12-28,12.95,921.09,19833.68,5438.56,2249.92,64.0
2016-12-29,13.37,921.2,19819.78,5432.09,2249.26,64.0
2016-12-30,14.04,906.47,19762.6,5383.12,2238.83,58.0
2017-01-03,12.85,907.34,19881.76,5429.08,2257.83,71.0
2017-01-04,11.85,909.77,19942.16,5477.0,2270.75,71.0
2017-01-05,11.67,901.69,19899.29,5487.94,2269.0,68.0
2017-01-06,11.32,908.65,19963.8,5521.06,2276.98,70.0
2017-01-09,11.56,918.58,19887.38,5531.82,2268.9,66.0
2017-01-10,11.49,923.06,19855.53,5551.82,2268.9,62.0
2017-01-11,11.26,926.54,19954.28,5563.65,2275.32,61.0
2017-01-12,11.54,918.16,19891.0,5547.49,2270.44,55.0
2017-01-13,11.23,924.67,19885.73,5574.12,2274.64,57.0
2017-01-17,11.87,909.48,19826.77,5538.73,2267.89,57.0
