Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.019766,0.092207,0.354260,0.343806
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.019716,0.092315,0.355915,0.345487
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019761,0.092991,0.354448,0.343997
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019184,0.091545,0.373297,0.363151
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019266,0.091791,0.370599,0.360408
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.018986,0.092997,0.379761,0.369719
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.018833,0.092703,0.384758,0.374797
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.018818,0.092759,0.385241,0.375288
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.019231,0.093676,0.371736,0.361564
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.019059,0.093135,0.377359,0.367278
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.019025,0.093153,0.378462,0.368399
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.019809,0.093656,0.352868,0.342390
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.019445,0.093331,0.364758,0.354474
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.019462,0.093416,0.364188,0.353894
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.020060,0.091862,0.344661,0.334051
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.020039,0.092085,0.345335,0.334736
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019975,0.091844,0.347442,0.336877
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.020697,0.093354,0.323851,0.312904
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.020550,0.092945,0.328641,0.317771
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.020439,0.092662,0.332284,0.321473
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.019714,0.092098,0.355965,0.345538
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.019763,0.092223,0.354383,0.343930
RF,Model 1,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.019766,0.091865,0.354255,0.343800
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.019424,0.091190,0.365453,0.355179
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.019017,0.089926,0.378752,0.368694
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.019010,0.089903,0.378950,0.368895
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.019649,0.091476,0.358078,0.347686
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.019313,0.090480,0.369064,0.358849
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.019275,0.090448,0.370323,0.360128
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019280,0.091100,0.370156,0.359959
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.018570,0.089168,0.393335,0.383513
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.018785,0.089682,0.386328,0.376393
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.020903,0.100004,0.317111,0.306055
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.020764,0.099764,0.321650,0.310668
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.020758,0.099730,0.321860,0.310881
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.020904,0.100187,0.317099,0.306043
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.020843,0.100015,0.319085,0.308061
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.020798,0.099918,0.320569,0.309569
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021709,0.100578,0.290807,0.279325
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021431,0.100327,0.299887,0.288552
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.021420,0.100312,0.300237,0.288908
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.023049,0.100915,0.247021,0.234830
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.023093,0.100650,0.245571,0.233357
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.022977,0.100347,0.249375,0.237222
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.023145,0.101385,0.243891,0.231649
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.023025,0.100642,0.247804,0.235625
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.022920,0.100268,0.251243,0.239120
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.023072,0.101196,0.246261,0.234058
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.023304,0.100975,0.238699,0.226374
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.023127,0.100558,0.244483,0.232251
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.022097,0.099068,0.278117,0.266430
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.021906,0.098783,0.284352,0.272766
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.021927,0.098925,0.283660,0.272062
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.022178,0.099310,0.275467,0.263737
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.022013,0.098790,0.280861,0.269218
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.022008,0.098879,0.281028,0.269388
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.022198,0.099606,0.274826,0.263086
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.021976,0.099008,0.282063,0.270439
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.021940,0.099011,0.283234,0.271629
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.017452,0.068372,0.545852,0.544861
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.017370,0.068169,0.547972,0.546986
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.017404,0.068146,0.547087,0.546098
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.018798,0.069712,0.510827,0.509760
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.018749,0.069567,0.512087,0.511022
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.018768,0.069529,0.511601,0.510535
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.015799,0.067353,0.588858,0.587961
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.015736,0.067177,0.590497,0.589603
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.015779,0.067149,0.589385,0.588489
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.022007,0.077918,0.427306,0.426056
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.021944,0.077680,0.428956,0.427710
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.021898,0.077548,0.430163,0.428920
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.023395,0.079107,0.391202,0.389873
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.023384,0.079080,0.391474,0.390147
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.023259,0.078839,0.394723,0.393403
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.020281,0.076753,0.472224,0.471072
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.020220,0.076612,0.473829,0.472681
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020156,0.076406,0.475470,0.474326
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.020766,0.075438,0.459615,0.458436
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.020726,0.075251,0.460639,0.459462
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.020756,0.075248,0.459876,0.458698
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.022297,0.077040,0.419755,0.418489
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.022336,0.077027,0.418762,0.417494
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.022327,0.076954,0.418994,0.417726
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.018980,0.074479,0.506098,0.505020
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019046,0.074285,0.504359,0.503277
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019028,0.074114,0.504844,0.503763
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.015365,0.058722,0.600150,0.599277
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.015286,0.058435,0.602226,0.601358
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.015317,0.058402,0.601397,0.600527
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.017616,0.064039,0.541580,0.540580
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.017574,0.063874,0.542684,0.541686
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.017598,0.063847,0.542051,0.541051
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.012739,0.053721,0.668490,0.667766
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.012675,0.053382,0.670171,0.669451
RF,Model 1,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.012704,0.053301,0.669416,0.668695
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.019684,0.069957,0.487771,0.486653
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.019639,0.069741,0.488940,0.487825
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019635,0.069653,0.489036,0.487921
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.022150,0.074629,0.423591,0.422334
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.022097,0.074430,0.424974,0.423719
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.022015,0.074243,0.427114,0.425864
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.016579,0.064907,0.568558,0.567617
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.016655,0.064967,0.566580,0.565634
RF,Model 1,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.016648,0.064869,0.566778,0.565833
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.018711,0.067836,0.513091,0.512028
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.018650,0.067546,0.514667,0.513608
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.018680,0.067476,0.513895,0.512834
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.021011,0.072204,0.453244,0.452051
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.021066,0.072120,0.451794,0.450598
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.021056,0.072077,0.452059,0.450863
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.015799,0.062970,0.588866,0.587969
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.015779,0.062720,0.589374,0.588478
RF,Model 1,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.015819,0.062710,0.588355,0.587457
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.021868,0.080888,0.430928,0.429686
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.021805,0.080687,0.432560,0.431322
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.021844,0.080674,0.431553,0.430313
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.022281,0.080781,0.420196,0.418931
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.022240,0.080634,0.421252,0.419990
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.022263,0.080599,0.420649,0.419384
RF,Model 1,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021309,0.081155,0.445488,0.444278
