Algorithm,Model,Parameters,Rank,Feature,Importance,Cumulative_Importance
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",12,SOX_YoY,0.016906804796366783,0.699693873321129
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",13,OverallIndex_YoY_last1,0.015909585522334332,0.7156034588434633
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",14,ROA_last1,0.015909129443545413,0.7315125882870087
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",15,FnG_YoY_Lag2,0.015743848938178154,0.7472564372251869
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",16,EPS_last1,0.01558188756772448,0.7628383247929114
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",17,VIX_YoY_Lag2,0.01556855482529806,0.7784068796182094
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",18,VIX_YoY_Lag3,0.014876333872498468,0.7932832134907079
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",19,VIX_YoY_Lag1,0.012941901231166937,0.8062251147218747
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",20,Last3mCumulativeRevenueGrowthRate_last1,0.012813668540616151,0.8190387832624909
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",1,Spread_cur,0.29577626288373265,0.29577626288373265
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",2,TradingTurnover_cur,0.07517020505577271,0.37094646793950536
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",3,TradingVolume_cur,0.06975347027274817,0.4406999382122535
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",4,TradingMoney_cur,0.06649975325710887,0.5071996914693624
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",5,QuarterlyReturn_Lag1,0.058694057338231756,0.5658937488075941
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",6,VIX_YoY,0.024713990185969707,0.5906077389935639
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",7,ROE_last1,0.020708059734576605,0.6113157987281405
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",8,Last3mCumulativeRevenue_last1,0.020595844836029817,0.6319116435641703
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",9,FnG_YoY,0.019984899906113643,0.6518965434702839
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",10,RediscountRate_YoY_last1,0.019202191215206173,0.6710987346854901
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",11,FnG_YoY_Lag2,0.01772118194789906,0.6888199166333892
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",12,SOX_YoY,0.017488998820721004,0.7063089154541101
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",13,OverallIndex_YoY_last1,0.016118623943414494,0.7224275393975246
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",14,VIX_YoY_Lag3,0.015904068467716755,0.7383316078652413
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",15,ROA_last1,0.014789767005426358,0.7531213748706677
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",16,EPS_last1,0.014781723831819325,0.767903098702487
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",17,IXIC_YoY,0.014736026932087887,0.7826391256345748
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",18,VIX_YoY_Lag2,0.014567800475185463,0.7972069261097603
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",19,IXIC_YoY_Lag3,0.013376799218204182,0.8105837253279645
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",20,Last3mCumulativeRevenueGrowthRate_last1,0.01303634259941493,0.8236200679273794
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",1,Spread_cur,0.34383771992354323,0.34383771992354323
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",2,TradingTurnover_cur,0.07614884749892425,0.4199865674224675
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",3,TradingMoney_cur,0.06220783087877383,0.48219439830124133
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",4,QuarterlyReturn_Lag1,0.054136000949963146,0.5363303992512045
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",5,TradingVolume_cur,0.05172299422598035,0.5880533934771849
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",6,Last3mCumulativeRevenue_last1,0.023252186787582202,0.6113055802647671
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",7,VIX_YoY,0.022015507307671833,0.633321087572439
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",8,SOX_YoY,0.019943635508300275,0.6532647230807392
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",9,IXIC_YoY,0.018496201876003163,0.6717609249567424
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",10,RediscountRate_YoY_last1,0.018455706596971544,0.6902166315537139
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",11,FnG_YoY,0.016991695504152755,0.7072083270578667
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",12,FnG_YoY_Lag2,0.015819216651819543,0.7230275437096862
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",13,VIX_YoY_Lag1,0.015021074527692949,0.7380486182373792
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",14,EPS_last1,0.014682672801269942,0.7527312910386491
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",15,ROE_last1,0.013979043176542813,0.766710334215192
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",16,VIX_YoY_Lag3,0.012918832677705822,0.7796291668928977
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",17,ROA_last1,0.01215702780486302,0.7917861946977608
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",18,IXIC_YoY_Lag3,0.01200967167500664,0.8037958663727675
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",19,VIX_YoY_Lag2,0.011898755107263867,0.8156946214800314
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",20,DJIA_YoY_Lag3,0.010661659125967698,0.8263562806059991
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",1,Spread_cur,0.3158765765277599,0.3158765765277599
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",2,TradingTurnover_cur,0.07879135151338286,0.39466792804114276
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",3,TradingVolume_cur,0.06557672505304571,0.4602446530941885
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",4,TradingMoney_cur,0.06227862125406331,0.5225232743482519
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",5,QuarterlyReturn_Lag1,0.058202779160975465,0.5807260535092273
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",6,VIX_YoY,0.026163012224110913,0.6068890657333382
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",7,Last3mCumulativeRevenue_last1,0.021223751973944483,0.6281128177072827
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",8,RediscountRate_YoY_last1,0.01959089094283222,0.6477037086501148
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",9,SOX_YoY,0.01896799040767448,0.6666716990577893
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",10,FnG_YoY,0.01775035269099018,0.6844220517487796
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",11,IXIC_YoY,0.01562234172137596,0.7000443934701556
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",12,FnG_YoY_Lag2,0.015584093371744627,0.7156284868419002
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",13,VIX_YoY_Lag2,0.015491617744584754,0.7311201045864849
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",14,ROE_last1,0.014824697047179435,0.7459448016336644
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",15,VIX_YoY_Lag1,0.014682932542367806,0.7606277341760322
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",16,OverallIndex_YoY_last1,0.013679391699900106,0.7743071258759323
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",17,IXIC_YoY_Lag3,0.01327460222031672,0.787581728096249
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",18,ROA_last1,0.012571917150646433,0.8001536452468955
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",19,VIX_YoY_Lag3,0.012553226738329258,0.8127068719852247
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",20,Last3mCumulativeRevenueGrowthRate_last1,0.012228664431520285,0.824935536416745
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",1,Spread_cur,0.3094776565453445,0.3094776565453445
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",2,TradingTurnover_cur,0.07860631704815234,0.38808397359349683
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",3,TradingVolume_cur,0.0709459145285665,0.45902988812206336
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",4,TradingMoney_cur,0.06462163545057013,0.5236515235726334
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",5,QuarterlyReturn_Lag1,0.061847618432528645,0.5854991420051621
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",6,VIX_YoY,0.024656276819433092,0.6101554188245951
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",7,Last3mCumulativeRevenue_last1,0.022084146155651543,0.6322395649802467
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",8,RediscountRate_YoY_last1,0.02041072402704627,0.6526502890072929
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",9,SOX_YoY,0.018897600054979345,0.6715478890622723
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",10,FnG_YoY,0.01855375567275394,0.6901016447350262
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",11,FnG_YoY_Lag2,0.017049715221827473,0.7071513599568537
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",12,VIX_YoY_Lag2,0.01483572862219015,0.7219870885790439
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",13,IXIC_YoY,0.014618050629082151,0.7366051392081261
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",14,ROE_last1,0.014331397982857966,0.7509365371909841
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",15,VIX_YoY_Lag1,0.014258802163346733,0.7651953393543308
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",16,OverallIndex_YoY_last1,0.014137691365374573,0.7793330307197054
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",17,IXIC_YoY_Lag3,0.01360277401396606,0.7929358047336714
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",18,VIX_YoY_Lag3,0.013420702417557419,0.8063565071512289
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",19,ROA_last1,0.0125809724068238,0.8189374795580526
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",20,Last3mCumulativeRevenueGrowthRate_last1,0.0119207008841729,0.8308581804422255
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",1,Spread_cur,0.3395536476968621,0.3395536476968621
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",2,TradingTurnover_cur,0.087363185722153,0.4269168334190151
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",3,TradingMoney_cur,0.06046167089497721,0.4873785043139923
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",4,TradingVolume_cur,0.05860406641001931,0.5459825707240117
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",5,QuarterlyReturn_Lag1,0.04587997541261087,0.5918625461366226
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",6,VIX_YoY,0.022424458996539737,0.6142870051331624
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",7,Last3mCumulativeRevenue_last1,0.02095850964536654,0.6352455147785289
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",8,IXIC_YoY,0.020463597512880818,0.6557091122914097
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",9,RediscountRate_YoY_last1,0.019677635801772415,0.6753867480931821
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",10,FnG_YoY,0.018213339779241024,0.6936000878724231
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",11,VIX_YoY_Lag1,0.016431301489598076,0.7100313893620211
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",12,FnG_YoY_Lag2,0.015860714614585072,0.7258921039766062
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",13,SOX_YoY,0.015596875550162285,0.7414889795267685
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",14,VIX_YoY_Lag3,0.014883845499339575,0.756372825026108
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",15,IXIC_YoY_Lag3,0.012911605542560243,0.7692844305686682
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",16,ROE_last1,0.012524199577070856,0.7818086301457391
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",17,OverallIndex_YoY_last1,0.012062492479208802,0.7938711226249479
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",18,DJIA_YoY_Lag3,0.011290807628419707,0.8051619302533676
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",19,VIX_YoY_Lag2,0.011207837547510698,0.8163697678008782
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",20,Last3mCumulativeRevenueGrowthRate_last1,0.009933988586546986,0.8263037563874253
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",1,Spread_cur,0.3243244868805872,0.3243244868805872
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",2,TradingTurnover_cur,0.08324729324679547,0.40757178012738265
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",3,TradingVolume_cur,0.06885864324014886,0.4764304233675315
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",4,TradingMoney_cur,0.061960890184559234,0.5383913135520907
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",5,QuarterlyReturn_Lag1,0.05248140901939546,0.5908727225714862
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",6,VIX_YoY,0.027182521872016262,0.6180552444435025
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",7,Last3mCumulativeRevenue_last1,0.02076437322217472,0.6388196176656772
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",8,RediscountRate_YoY_last1,0.01862278011298635,0.6574423977786635
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",9,SOX_YoY,0.018206282278748466,0.675648680057412
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",10,FnG_YoY,0.018089834828479767,0.6937385148858918
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",11,FnG_YoY_Lag2,0.01595544477561387,0.7096939596615056
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",12,VIX_YoY_Lag1,0.01584638796924339,0.725540347630749
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",13,VIX_YoY_Lag2,0.015478027104275734,0.7410183747350247
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",14,OverallIndex_YoY_last1,0.01463044154852553,0.7556488162835503
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",15,IXIC_YoY,0.014422459394914424,0.7700712756784647
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",16,VIX_YoY_Lag3,0.014038722612172769,0.7841099982906374
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",17,IXIC_YoY_Lag3,0.013529550523096642,0.7976395488137341
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",18,ROE_last1,0.01201704781555753,0.8096565966292917
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",19,Last3mCumulativeRevenueGrowthRate_last1,0.011634117160496218,0.8212907137897879
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",20,DJIA_YoY_Lag3,0.009838748519590249,0.8311294623093781
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",1,Spread_cur,0.31819085543504033,0.31819085543504033
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",2,TradingTurnover_cur,0.08036652786071932,0.3985573832957596
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",3,TradingVolume_cur,0.07369924560718519,0.47225662890294484
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",4,TradingMoney_cur,0.06478275659879949,0.5370393855017443
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",5,QuarterlyReturn_Lag1,0.055606059034816,0.5926454445365603
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",6,VIX_YoY,0.025615244838170067,0.6182606893747303
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",7,Last3mCumulativeRevenue_last1,0.021887461559536598,0.6401481509342669
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",8,RediscountRate_YoY_last1,0.019911343516124717,0.6600594944503916
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",9,FnG_YoY,0.0197788192618488,0.6798383137122403
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",10,SOX_YoY,0.0194991588043287,0.6993374725165691
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",11,FnG_YoY_Lag2,0.01686317910024322,0.7162006516168123
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",12,OverallIndex_YoY_last1,0.015827384892478168,0.7320280365092905
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",13,VIX_YoY_Lag1,0.014831882795715205,0.7468599193050057
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",14,VIX_YoY_Lag2,0.014758458698155428,0.7616183780031611
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",15,IXIC_YoY_Lag3,0.014623651824003206,0.7762420298271643
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",16,VIX_YoY_Lag3,0.013987802945628916,0.7902298327727932
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",17,IXIC_YoY,0.013660658083638722,0.8038904908564319
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",18,Last3mCumulativeRevenueGrowthRate_last1,0.01142165494710925,0.8153121458035412
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",19,ROE_last1,0.01082014660846373,0.8261322924120049
RF,Model 2,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",20,DJIA_YoY_Lag3,0.008847959255902335,0.8349802516679072
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",1,Spread_cur,0.670523586550808,0.670523586550808
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",2,VIX_YoY,0.04411841284960923,0.7146419994004173
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",3,QuarterlyReturn_Lag3,0.04268046470159289,0.7573224641020102
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",4,FnG_YoY,0.038716002345131714,0.7960384664471419
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",5,OverallIndex_YoY_last1,0.028200581742286613,0.8242390481894285
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",6,FnG_YoY_Lag2,0.017045351698888447,0.8412843998883169
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",7,ROE_last1,0.01696137890914008,0.858245778797457
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",8,QuarterlyReturn_Lag1,0.016484069788307194,0.8747298485857642
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",9,RediscountRate_YoY_Lag3_last1,0.012125189461358394,0.8868550380471226
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",10,ROA_last1,0.011136367916838724,0.8979914059639613
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",11,QuarterlyReturn_Lag2,0.01111481742775792,0.9091062233917192
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",12,VIX_YoY_Lag1,0.010779863353580178,0.9198860867452994
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",13,SOX_YoY,0.007785084368232468,0.9276711711135318
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",14,EPS_last1,0.007600469339403861,0.9352716404529356
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",15,TradingVolume_cur,0.00708579882405462,0.9423574392769902
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",16,FnG_YoY_Lag3,0.005345367975299695,0.94770280725229
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",17,IXIC_YoY_Lag1,0.0039049960807393627,0.9516078033330293
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",18,DJIA_YoY_Lag1,0.003881696134467765,0.9554894994674971
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",19,TotalUnempPct_YoY_last1,0.003872064506293352,0.9593615639737905
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",20,TradingTurnover_cur,0.003795761758422643,0.9631573257322131
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",1,Spread_cur,0.6776425350885908,0.6776425350885908
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",2,VIX_YoY,0.04421377301964079,0.7218563081082316
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",3,QuarterlyReturn_Lag3,0.03715143776008138,0.759007745868313
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",4,FnG_YoY,0.036655197015199925,0.7956629428835129
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",5,OverallIndex_YoY_last1,0.028867227767455154,0.8245301706509681
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",6,ROE_last1,0.01953906177206623,0.8440692324230343
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",7,QuarterlyReturn_Lag1,0.01898527027107951,0.8630545026941139
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",8,FnG_YoY_Lag2,0.017120016164186607,0.8801745188583004
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",9,RediscountRate_YoY_Lag3_last1,0.012487415376853337,0.8926619342351538
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",10,QuarterlyReturn_Lag2,0.011723122789874498,0.9043850570250284
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",11,VIX_YoY_Lag1,0.010256944611651815,0.9146420016366802
RF,Model 2,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",12,EPS_last1,0.009624070783779378,0.9242660724204596
