Algorithm,Model,Parameters,Rank,Feature,Importance,Cumulative_Importance
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",16,VIX_QoQ_Lag2,0.01304287027825299,0.8462239423869425
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",17,ROA_last1,0.012608304853070155,0.8588322472400127
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",18,VIX_QoQ_Lag1,0.010811867728889016,0.8696441149689017
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",19,Last3mCumulativeRevenueGrowthRate_last1,0.009219868423027612,0.8788639833919293
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",20,VIX_QoQ_Lag3,0.008685845447047088,0.8875498288389764
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",1,Spread_cur,0.34435385728570816,0.34435385728570816
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",2,TradingTurnover_cur,0.07055220363491695,0.4149060609206251
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",3,TradingVolume_cur,0.06749700133919019,0.4824030622598153
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",4,TradingMoney_cur,0.06257945400379057,0.5449825162636058
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",5,QuarterlyReturn_Lag1,0.05523623437516759,0.6002187506387734
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",6,SOX_QoQ,0.04703096360916082,0.6472497142479342
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",7,VIX_QoQ,0.03433686571489611,0.6815865799628303
