Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021447,0.098988,0.299362,0.289994
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021398,0.098895,0.300962,0.291615
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.021278,0.098544,0.304860,0.295565
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.021072,0.093498,0.311599,0.302395
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.021418,0.094418,0.300307,0.290952
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.021340,0.094194,0.302864,0.293543
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.021302,0.093594,0.304073,0.294769
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.021746,0.094424,0.289578,0.280079
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.021779,0.094522,0.288517,0.279004
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.021406,0.094132,0.300699,0.291349
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.021360,0.094349,0.302200,0.292871
RF,Model 2,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.021379,0.094244,0.301575,0.292237
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.020113,0.091793,0.342917,0.334132
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.020437,0.092341,0.332342,0.323415
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.020443,0.092340,0.332155,0.323226
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.020417,0.092305,0.333008,0.324090
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.020507,0.092243,0.330066,0.321109
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.020484,0.092226,0.330800,0.321853
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019933,0.091321,0.348820,0.340113
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.020348,0.092234,0.335265,0.326377
RF,Model 2,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.020379,0.092373,0.334249,0.325348
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.020313,0.096395,0.336387,0.327514
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.020233,0.095896,0.339009,0.330172
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.020186,0.095640,0.340544,0.331727
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.020403,0.096132,0.333460,0.324548
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.020388,0.096049,0.333950,0.325044
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.020317,0.095677,0.336264,0.327389
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.020517,0.096041,0.329727,0.320765
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.020612,0.096237,0.326629,0.317625
RF,Model 2,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.020515,0.095989,0.329798,0.320837
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.020868,0.093008,0.318269,0.309154
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.020906,0.092649,0.317028,0.307896
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.020894,0.092647,0.317426,0.308300
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.021370,0.093638,0.301852,0.292518
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.021436,0.093593,0.299726,0.290363
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.021323,0.093299,0.303414,0.294100
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.020419,0.092224,0.332931,0.324012
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.020460,0.091971,0.331603,0.322666
RF,Model 2,Holdout Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020556,0.092128,0.328462,0.319483
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.019663,0.090025,0.357648,0.349059
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.019973,0.090511,0.347503,0.338779
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.019874,0.090400,0.350749,0.342069
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.019967,0.091078,0.347691,0.338970
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.020131,0.091149,0.342356,0.333563
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.020220,0.091180,0.339422,0.330589
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019742,0.090826,0.355055,0.346432
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019760,0.090670,0.354463,0.345832
RF,Model 2,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019818,0.090718,0.352570,0.343913
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.022011,0.100751,0.280915,0.271300
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.022045,0.100719,0.279825,0.270196
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.022113,0.100851,0.277592,0.267933
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.021930,0.100528,0.283562,0.273983
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.021925,0.100517,0.283737,0.274160
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.022010,0.100662,0.280971,0.271357
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.022653,0.101383,0.259949,0.250054
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.022634,0.101389,0.260573,0.250687
RF,Model 2,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.022619,0.101433,0.261055,0.251175
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.023766,0.099787,0.223593,0.213212
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.023849,0.100295,0.220879,0.210462
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.023752,0.100000,0.224038,0.213663
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.023562,0.099136,0.230258,0.219966
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.023626,0.099865,0.228156,0.217837
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.023622,0.099876,0.228311,0.217994
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.023981,0.099739,0.216581,0.206107
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.024039,0.100487,0.214672,0.204172
RF,Model 2,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.023958,0.100340,0.217306,0.206841
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.022802,0.098078,0.255076,0.245116
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.022812,0.098206,0.254774,0.244810
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.022779,0.098240,0.255830,0.245880
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.022893,0.098490,0.252101,0.242101
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.022862,0.098413,0.253136,0.243150
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.022872,0.098301,0.252803,0.242812
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.022482,0.097520,0.265544,0.255724
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.022767,0.098232,0.256245,0.246300
RF,Model 2,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.022744,0.098129,0.256972,0.247038
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.017802,0.068955,0.540932,0.540078
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.017781,0.068836,0.541457,0.540604
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.017806,0.068837,0.540821,0.539967
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.019288,0.070472,0.502599,0.501673
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.019264,0.070383,0.503228,0.502304
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.019270,0.070358,0.503072,0.502148
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.016116,0.067930,0.584404,0.583630
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.016136,0.067839,0.583878,0.583103
RF,Model 2,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.016163,0.067828,0.583197,0.582421
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.022061,0.077668,0.431094,0.430036
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.022069,0.077569,0.430884,0.429825
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.022022,0.077439,0.432110,0.431053
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.023419,0.078852,0.396073,0.394949
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.023646,0.079145,0.390219,0.389084
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.023530,0.078971,0.393217,0.392088
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.020224,0.076313,0.478460,0.477489
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.020269,0.076321,0.477297,0.476324
RF,Model 2,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020357,0.076362,0.475028,0.474051
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.020832,0.075290,0.462793,0.461793
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.020969,0.075424,0.459256,0.458250
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.020990,0.075361,0.458722,0.457715
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.022340,0.076727,0.423899,0.422827
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.022470,0.076920,0.420554,0.419475
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.022473,0.076891,0.420482,0.419404
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019027,0.074023,0.509343,0.508430
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019149,0.074153,0.506194,0.505275
RF,Model 2,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019171,0.074175,0.505620,0.504700
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.015707,0.059192,0.594955,0.594202
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.015676,0.058982,0.595745,0.594993
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.015700,0.058987,0.595145,0.594392
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.018083,0.064632,0.533682,0.532815
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.018061,0.064538,0.534250,0.533383
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.018073,0.064522,0.533951,0.533084
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.012982,0.053941,0.665215,0.664592
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.012989,0.053769,0.665045,0.664422
RF,Model 2,Training Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.013021,0.053743,0.664209,0.663584
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.019849,0.069870,0.488146,0.487194
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.019916,0.069838,0.486415,0.485459
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.019868,0.069745,0.487640,0.486687
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.022224,0.074467,0.426887,0.425820
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.022409,0.074623,0.422115,0.421040
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.022366,0.074548,0.423224,0.422150
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.016726,0.064623,0.568685,0.567882
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.016827,0.064762,0.566063,0.565256
RF,Model 2,Training Set,"max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.016822,0.064705,0.566191,0.565384
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.018844,0.067554,0.514052,0.513147
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.018936,0.067634,0.511678,0.510769
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.018931,0.067580,0.511812,0.510903
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.021149,0.072022,0.454621,0.453606
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.021269,0.072161,0.451509,0.450488
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.021304,0.072167,0.450630,0.449607
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.015795,0.062694,0.592673,0.591915
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.015868,0.062581,0.590802,0.590041
RF,Model 2,Training Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.015862,0.062448,0.590959,0.590198
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.022629,0.082389,0.416462,0.415376
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.022644,0.082373,0.416052,0.414966
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.022667,0.082368,0.415476,0.414389
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.023096,0.082347,0.404415,0.403307
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.023091,0.082331,0.404549,0.403441
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.023102,0.082319,0.404255,0.403147
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.022040,0.082540,0.431633,0.430576
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.022078,0.082522,0.430655,0.429595
RF,Model 2,Training Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.022102,0.082516,0.430040,0.428979
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.027314,0.089162,0.295641,0.294331
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.027701,0.089528,0.285643,0.284314
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.027699,0.089509,0.285703,0.284374
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.027863,0.089369,0.281487,0.280150
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.028004,0.089484,0.277853,0.276509
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.028015,0.089495,0.277567,0.276222
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.027040,0.089553,0.302705,0.301407
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.027354,0.089759,0.294605,0.293293
RF,Model 2,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.027359,0.089690,0.294480,0.293167
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.026668,0.088032,0.312284,0.311004
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.026625,0.087970,0.313406,0.312129
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.026619,0.087867,0.313559,0.312282
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.026790,0.087833,0.309140,0.307854
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.027011,0.087994,0.303438,0.302141
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.026965,0.087903,0.304636,0.303342
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.026106,0.087984,0.326795,0.325542
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.026121,0.088036,0.326399,0.325145
RF,Model 2,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.026058,0.087849,0.328014,0.326764
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.002718,0.031006,0.695681,0.691556
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.002721,0.031011,0.695270,0.691139
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.002713,0.030965,0.696196,0.692078
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.002753,0.031087,0.691762,0.687584
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.002760,0.031107,0.690991,0.686802
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.002757,0.031087,0.691224,0.687039
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.002694,0.030914,0.698318,0.694229
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.002699,0.030947,0.697794,0.693698
RF,Model 3,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.002694,0.030909,0.698306,0.694217
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.004293,0.039513,0.519299,0.512783
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.004261,0.039365,0.522845,0.516377
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.004256,0.039358,0.523469,0.517010
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.004424,0.040200,0.504629,0.497914
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.004340,0.039738,0.514021,0.507433
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.004341,0.039706,0.513873,0.507283
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.004208,0.039351,0.528812,0.522425
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.004180,0.039220,0.531919,0.525574
RF,Model 3,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.004195,0.039324,0.530195,0.523827
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.003834,0.036860,0.570663,0.564843
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.003804,0.036682,0.574035,0.568261
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.003825,0.036741,0.571694,0.565888
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.003919,0.037135,0.561187,0.555239
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.003901,0.037018,0.563114,0.557192
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.003907,0.037020,0.562489,0.556558
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.003795,0.036844,0.575063,0.569302
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.003761,0.036689,0.578870,0.573161
RF,Model 3,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.003769,0.036738,0.577897,0.572175
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.002716,0.031055,0.695899,0.691777
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.002717,0.031065,0.695708,0.691583
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.002709,0.031010,0.696670,0.692559
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.002751,0.031108,0.691965,0.687790
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.002758,0.031125,0.691205,0.687019
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.002755,0.031107,0.691494,0.687312
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.002686,0.030985,0.699205,0.695128
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.002689,0.031020,0.698898,0.694816
RF,Model 3,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.002686,0.030979,0.699189,0.695111
