Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Holdout Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020219,0.092887,0.339473,0.330641
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.018959,0.090456,0.380620,0.372338
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.019173,0.091233,0.373657,0.365282
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.019285,0.091567,0.369994,0.361571
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.019375,0.091421,0.367056,0.358593
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.019424,0.091233,0.365457,0.356973
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.019369,0.091134,0.367254,0.358793
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.019113,0.090983,0.375590,0.367241
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.019215,0.091535,0.372269,0.363876
RF,Model 1,Holdout Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.019242,0.091479,0.371396,0.362992
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.018970,0.093081,0.380267,0.371981
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.018842,0.092820,0.384469,0.376239
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.018826,0.092822,0.384978,0.376755
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.019205,0.093505,0.372608,0.364219
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.019056,0.093150,0.377461,0.369137
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.019028,0.093206,0.378375,0.370063
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.019906,0.093913,0.349693,0.340998
RF,Model 1,Holdout Set,"max_depth = 15, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.019463,0.093316,0.364177,0.355675
